lnbwt,bwt,edfather,edmother,parity,male,famincom,cigspreg
4.691348,109.0000128,12,12,1,1,13.5,0
4.89784,134.0000268,14,12,2,1,27.5,0
4.941642,139.9999408,16,14,2,0,65,0
4.795791,121.000055,12,17,2,0,27.5,0
4.859812,128.9999478,16,18,2,0,37.5,0
4.890349,132.9999829,16,15,1,1,27.5,0
4.644391,104.0000105,12,12,1,1,10.5,0
4.804021,121.9999945,13,13,1,1,17.5,0
5.068904,158.9999678,18,16,1,1,42.5,0
4.844187,126.999989,16,17,1,0,47.5,0
4.672829,107.0000177,12,12,2,1,22.5,0
4.859812,128.9999478,8,11,2,1,15.5,6
5.049856,155.9999989,11,11,1,0,37.5,0
4.718499,112.0000144,12,12,2,1,32.5,0
4.820282,124.0000539,12,12,1,1,22.5,0
4.736198,113.9999489,12,12,1,0,65,0
4.820282,124.0000539,16,13,1,1,65,0
4.804021,121.9999945,16,16,2,1,65,0
4.65396,104.9999632,5,8,3,0,7.5,0
4.727388,113.0000205,16,16,2,1,47.5,0
4.875197,130.9999577,12,12,2,1,65,0
4.672829,107.0000177,16,14,1,0,65,0
4.744932,114.9999852,12,9,1,1,32.5,0
4.663439,105.99999,12,12,1,1,65,0
4.882802,132.0000102,15,12,1,1,47.5,0
4.682131,107.9999755,18,16,1,1,37.5,0
4.89784,134.0000268,14,12,1,1,18.5,0
4.94876,141.0000155,18,16,1,1,65,0
4.430817,84.0000169,12,12,1,1,11.5,0
4.867535,130.0000714,16,18,1,1,65,0
4.890349,132.9999829,13,13,1,1,16.5,0
4.682131,107.9999755,12,12,2,0,22.5,0
4.521789,92.00003891,16,14,2,0,42.5,0
4.844187,126.999989,12,14,2,1,32.5,0
4.875197,130.9999577,11,9,1,1,11.5,0
4.644391,104.0000105,16,15,1,0,65,0
4.804021,121.9999945,12,12,1,0,27.5,0
4.574711,97.00000209,12,12,2,1,27.5,0
4.770685,118.0000443,16,13,3,1,65,0
4.736198,113.9999489,0,11,3,0,3.5,0
4.94876,141.0000155,12,13,1,0,65,0
4.672829,107.0000177,11,12,2,0,22.5,0
5.02388,151.9999208,12,10,1,1,22.5,0
4.905275,135.0000299,12,12,1,0,27.5,0
4.927254,138.0000434,12,10,1,0,18.5,0
4.682131,107.9999755,16,16,1,1,37.5,0
4.574711,97.00000209,7,12,1,0,22.5,0
4.875197,130.9999577,13,12,3,1,27.5,0
4.882802,132.0000102,18,16,1,0,32.5,0
4.828314,125.0000328,13,12,1,0,32.5,0
4.762174,117.0000076,12,12,1,1,15.5,0
4.75359,115.9999778,16,13,1,1,16.5,0
5.02388,151.9999208,18,18,2,1,19.5,0
4.672829,107.0000177,17,12,1,1,14.5,0
4.912655,136.0000155,16,14,4,0,32.5,0
4.787492,120.0000309,7,9,2,0,14.5,0
4.844187,126.999989,17,18,1,1,8.5,0
4.812184,122.9999563,0,8,3,1,8.5,0
4.905275,135.0000299,14,12,3,1,7.5,0
4.574711,97.00000209,16,16,1,1,65,0
4.691348,109.0000128,8,8,2,0,13.5,10
4.744932,114.9999852,9,12,1,0,18.5,0
4.795791,121.000055,11,12,1,1,22.5,20
4.736198,113.9999489,18,17,2,0,65,0
4.770685,118.0000443,12,6,1,0,22.5,0
4.89784,134.0000268,16,16,1,0,42.5,0
5.049856,155.9999989,18,15,1,1,37.5,0
4.934474,139.0000093,12,12,2,0,11.5,3
4.912655,136.0000155,18,18,2,1,65,0
4.905275,135.0000299,13,12,1,0,65,0
4.990433,147.0000607,13,16,1,1,65,0
4.744932,114.9999852,0,10,3,0,8.5,0
4.442651,84.9999782,12,12,3,0,12.5,0
4.624973,102.000019,12,17,1,1,37.5,0
4.804021,121.9999945,11,12,1,0,14.5,0
4.574711,97.00000209,11,11,2,0,37.5,20
4.912655,136.0000155,13,17,2,0,27.5,0
4.875197,130.9999577,18,12,1,0,65,0
4.75359,115.9999778,14,12,1,1,32.5,0
4.454347,85.99997452,0,12,1,1,6.5,0
5.043425,154.9999819,13,16,2,1,65,0
4.804021,121.9999945,0,10,1,1,6.5,40
4.65396,104.9999632,18,16,1,0,65,0
4.875197,130.9999577,16,16,1,1,65,0
4.844187,126.999989,8,10,1,1,17.5,0
4.828314,125.0000328,18,18,1,1,27.5,0
4.663439,105.99999,13,16,1,0,65,0
4.85203,127.9999662,12,12,2,1,42.5,0
4.969813,143.9999569,11,12,1,1,2.5,0
4.804021,121.9999945,16,12,2,1,42.5,0
4.934474,139.0000093,10,12,1,0,14.5,0
4.836282,126.0000117,10,12,1,0,42.5,0
4.672829,107.0000177,18,18,1,1,32.5,0
4.369448,79.00001166,0,12,3,1,3.5,0
4.624973,102.000019,15,12,1,1,42.5,0
4.836282,126.0000117,12,16,1,1,15.5,0
4.875197,130.9999577,12,12,5,1,42.5,0
4.85203,127.9999662,12,14,2,0,65,0
4.969813,143.9999569,12,12,1,1,27.5,0
4.060443,57.99999939,16,15,3,0,42.5,0
4.983607,146.0000552,16,13,2,0,65,0
4.828314,125.0000328,12,12,1,0,18.5,0
4.787492,120.0000309,12,12,1,1,32.5,4
4.477337,88.00001633,12,12,1,0,37.5,0
4.663439,105.99999,18,15,1,1,65,0
4.905275,135.0000299,11,13,2,1,27.5,0
4.75359,115.9999778,16,12,2,1,47.5,0
4.85203,127.9999662,14,13,3,1,32.5,0
4.812184,122.9999563,0,14,1,0,8.5,0
4.744932,114.9999852,15,17,3,1,65,0
5.117994,167.0000313,12,12,2,1,27.5,0
4.795791,121.000055,18,16,2,1,37.5,0
4.736198,113.9999489,11,6,1,1,22.5,0
4.75359,115.9999778,13,15,1,1,37.5,0
4.94876,141.0000155,0,12,2,1,8.5,5
4.94876,141.0000155,13,12,2,1,42.5,0
4.787492,120.0000309,16,16,2,0,65,0
4.70048,109.9999598,12,13,1,0,12.5,0
4.787492,120.0000309,13,14,1,0,27.5,0
4.828314,125.0000328,14,18,2,1,27.5,0
4.94876,141.0000155,12,12,1,0,22.5,0
4.969813,143.9999569,7,8,2,1,18.5,0
4.624973,102.000019,12,12,2,0,13.5,0
4.795791,121.000055,12,10,1,1,18.5,0
4.663439,105.99999,12,12,2,0,22.5,0
4.75359,115.9999778,15,12,1,0,65,0
4.75359,115.9999778,12,12,1,0,32.5,10
4.812184,122.9999563,13,13,2,1,22.5,0
4.882802,132.0000102,12,15,1,0,37.5,0
4.770685,118.0000443,11,10,2,1,47.5,20
4.875197,130.9999577,18,17,2,1,65,0
4.787492,120.0000309,4,12,3,1,10.5,0
4.976734,145.0000373,12,12,1,0,22.5,0
4.955827,141.9999918,18,9,1,1,65,0
4.762174,117.0000076,16,18,2,0,65,0
4.60517,99.9999814,12,7,1,0,10.5,0
4.787492,120.0000309,16,13,1,1,32.5,0
4.976734,145.0000373,16,13,1,1,32.5,0
4.812184,122.9999563,18,16,1,1,65,0
5.111988,166.0000351,17,14,2,1,47.5,0
4.634729,103.0000012,13,14,2,0,32.5,8
4.890349,132.9999829,0,10,2,1,6.5,0
4.779123,118.9999413,14,11,1,1,47.5,0
4.812184,122.9999563,12,12,1,1,19.5,0
4.672829,107.0000177,7,0,1,0,7.5,0
4.976734,145.0000373,8,9,3,1,8.5,0
4.890349,132.9999829,0,14,1,0,19.5,0
4.983607,146.0000552,16,13,4,1,65,0
4.89784,134.0000268,12,14,1,0,32.5,0
4.941642,139.9999408,14,14,1,1,65,0
4.89784,134.0000268,12,15,1,0,27.5,0
4.158883,63.99999466,6,7,1,1,12.5,0
4.779123,118.9999413,0,15,1,0,27.5,4
4.941642,139.9999408,13,16,2,1,32.5,0
4.787492,120.0000309,6,6,3,0,22.5,0
4.634729,103.0000012,13,14,2,0,18.5,0
4.219508,68.00002005,12,12,2,1,32.5,20
4.787492,120.0000309,12,12,2,0,37.5,0
4.795791,121.000055,15,14,1,0,32.5,0
4.867535,130.0000714,0,8,2,1,9.5,0
4.744932,114.9999852,12,12,1,0,15.5,10
4.787492,120.0000309,12,12,1,1,65,0
4.634729,103.0000012,13,13,3,0,22.5,12
4.60517,99.9999814,12,12,1,0,32.5,0
4.762174,117.0000076,13,16,1,0,65,0
4.836282,126.0000117,18,18,1,0,65,0
4.955827,141.9999918,0,13,2,1,5.5,0
5.02388,151.9999208,12,12,2,1,65,0
4.820282,124.0000539,18,17,1,0,65,0
4.983607,146.0000552,13,12,2,1,27.5,0
4.624973,102.000019,15,16,1,1,27.5,0
4.859812,128.9999478,12,6,2,1,27.5,0
4.828314,125.0000328,12,12,3,1,10.5,0
4.61512,100.9999478,0,3,1,0,0.5,0
4.727388,113.0000205,16,12,2,1,32.5,0
4.61512,100.9999478,5,9,4,0,42.5,0
4.663439,105.99999,18,18,1,1,65,0
4.60517,99.9999814,16,18,2,0,65,0
4.867535,130.0000714,15,14,1,0,42.5,0
4.804021,121.9999945,16,16,1,0,65,0
4.543295,94.00002047,13,12,1,0,65,0
4.682131,107.9999755,9,13,1,1,32.5,0
4.672829,107.0000177,18,18,2,1,65,0
4.779123,118.9999413,13,12,4,1,17.5,20
4.663439,105.99999,12,12,1,0,18.5,0
4.727388,113.0000205,12,12,2,1,13.5,0
4.882802,132.0000102,12,12,1,1,10.5,0
4.70048,109.9999598,11,11,3,0,13.5,10
4.330733,75.99997414,13,18,1,0,32.5,10
4.812184,122.9999563,13,12,1,1,15.5,0
4.812184,122.9999563,12,12,1,1,10.5,0
4.859812,128.9999478,15,12,1,1,32.5,0
4.770685,118.0000443,0,13,2,1,16.5,0
4.890349,132.9999829,0,11,1,1,8.5,0
4.934474,139.0000093,12,13,1,1,22.5,0
4.820282,124.0000539,16,18,2,1,27.5,0
4.094345,60.00002627,0,10,1,1,12.5,20
4.465908,86.99998968,14,12,1,0,19.5,0
4.867535,130.0000714,18,16,1,1,65,0
4.70048,109.9999598,13,16,1,1,65,0
4.836282,126.0000117,14,11,1,1,37.5,0
4.828314,125.0000328,12,13,1,1,47.5,0
5.111988,166.0000351,10,13,2,0,47.5,0
4.804021,121.9999945,13,13,1,0,37.5,0
4.962845,143.0000529,17,16,2,0,65,0
4.804021,121.9999945,14,12,2,1,27.5,0
4.663439,105.99999,18,16,2,1,65,0
4.836282,126.0000117,18,18,2,0,65,0
5.049856,155.9999989,16,14,1,0,32.5,0
4.859812,128.9999478,0,8,1,1,22.5,0
4.727388,113.0000205,12,12,1,1,32.5,1
4.394449,80.99998747,17,15,2,0,65,0
4.41884,82.99994955,16,14,1,0,37.5,0
4.718499,112.0000144,16,16,2,0,18.5,20
4.779123,118.9999413,14,13,1,1,65,0
4.934474,139.0000093,16,12,1,0,47.5,0
4.70953,110.9999777,12,14,1,0,27.5,0
4.394449,80.99998747,13,12,4,0,27.5,40
4.844187,126.999989,16,12,2,0,27.5,0
4.779123,118.9999413,10,11,1,0,22.5,0
4.727388,113.0000205,14,13,1,0,18.5,10
4.682131,107.9999755,11,12,2,0,32.5,0
4.969813,143.9999569,12,12,1,1,22.5,0
4.70048,109.9999598,16,14,3,1,65,0
4.927254,138.0000434,16,13,1,0,65,0
4.85203,127.9999662,13,13,1,0,65,0
4.969813,143.9999569,14,12,1,1,14.5,10
4.70048,109.9999598,0,14,1,1,13.5,0
4.65396,104.9999632,0,10,1,1,4.5,20
4.820282,124.0000539,12,12,3,0,22.5,0
4.762174,117.0000076,17,16,1,1,37.5,0
4.976734,145.0000373,12,12,1,1,65,0
4.941642,139.9999408,12,14,1,0,22.5,0
4.61512,100.9999478,14,16,1,1,65,0
4.997212,147.9999595,16,12,3,1,37.5,0
4.787492,120.0000309,16,14,1,0,37.5,0
4.867535,130.0000714,12,12,2,0,22.5,0
4.85203,127.9999662,16,15,1,1,65,0
4.70953,110.9999777,11,10,1,1,0.5,15
4.89784,134.0000268,10,12,1,1,10.5,0
4.94876,141.0000155,12,12,2,1,22.5,0
4.744932,114.9999852,14,12,1,0,47.5,0
4.584968,98.00005109,12,12,2,1,27.5,0
4.770685,118.0000443,17,16,1,0,65,0
4.532599,92.99995414,12,17,1,1,47.5,0
4.510859,90.99995391,11,11,1,1,12.5,20
4.70048,109.9999598,12,14,2,0,65,0
4.718499,112.0000144,0,10,1,0,9.5,0
4.718499,112.0000144,14,12,3,1,37.5,20
4.584968,98.00005109,12,12,2,0,27.5,12
4.990433,147.0000607,14,14,2,0,65,0
4.919981,137.0000102,16,16,1,0,65,0
4.727388,113.0000205,15,16,1,1,42.5,0
4.919981,137.0000102,11,12,1,1,27.5,0
4.26268,71.00000873,12,12,2,0,37.5,15
4.859812,128.9999478,16,16,1,0,47.5,0
4.820282,124.0000539,0,12,1,0,7.5,0
4.927254,138.0000434,0,12,1,0,6.5,0
4.85203,127.9999662,13,12,1,1,37.5,0
4.804021,121.9999945,12,12,1,0,32.5,10
4.770685,118.0000443,4,5,2,0,47.5,0
4.85203,127.9999662,12,12,2,0,42.5,0
4.844187,126.999989,18,17,1,1,47.5,0
4.718499,112.0000144,18,18,2,1,65,0
4.718499,112.0000144,14,14,1,0,42.5,0
4.406719,81.99997972,14,14,2,0,37.5,0
4.94876,141.0000155,12,12,1,0,19.5,0
4.672829,107.0000177,16,15,3,1,42.5,0
4.762174,117.0000076,12,12,1,0,14.5,0
4.844187,126.999989,16,16,1,1,37.5,0
4.969813,143.9999569,14,12,1,0,32.5,0
4.691348,109.0000128,11,11,1,0,9.5,0
4.369448,79.00001166,14,13,3,1,65,0
4.820282,124.0000539,16,13,1,1,32.5,0
4.867535,130.0000714,12,9,1,0,5.5,10
5.602119,271.0000485,14,14,1,0,42.5,0
4.844187,126.999989,14,17,1,1,42.5,0
4.941642,139.9999408,11,12,2,1,27.5,0
4.836282,126.0000117,17,13,1,0,42.5,0
4.70048,109.9999598,12,12,2,1,32.5,0
4.844187,126.999989,17,12,1,1,32.5,0
4.521789,92.00003891,18,16,3,0,47.5,0
4.795791,121.000055,8,13,1,1,47.5,0
4.624973,102.000019,18,16,1,1,42.5,0
4.828314,125.0000328,8,10,1,1,37.5,0
4.94876,141.0000155,14,15,1,1,32.5,0
4.795791,121.000055,11,12,1,0,65,0
4.844187,126.999989,16,16,1,1,47.5,0
4.779123,118.9999413,13,14,1,1,42.5,0
4.663439,105.99999,12,12,1,0,27.5,0
4.875197,130.9999577,17,15,1,1,42.5,0
4.564348,95.99998162,10,12,1,1,37.5,0
4.94876,141.0000155,16,14,1,0,42.5,0
4.532599,92.99995414,9,11,1,0,32.5,0
4.718499,112.0000144,12,12,1,1,18.5,0
4.927254,138.0000434,10,12,2,1,4.5,0
4.912655,136.0000155,14,14,2,1,22.5,0
4.727388,113.0000205,0,12,3,0,4.5,20
4.65396,104.9999632,16,12,1,1,27.5,0
4.787492,120.0000309,12,12,2,1,19.5,0
3.555348,34.99999785,16,16,1,0,27.5,0
5.003946,148.9999544,12,12,3,0,19.5,0
4.804021,121.9999945,15,13,1,1,18.5,0
4.983607,146.0000552,13,15,1,1,22.5,0
5.081404,160.9999412,12,12,1,1,22.5,0
4.955827,141.9999918,0,12,3,1,1.5,20
4.779123,118.9999413,12,12,2,1,4.5,0
4.75359,115.9999778,12,13,1,0,42.5,0
4.532599,92.99995414,12,12,1,0,37.5,0
4.70048,109.9999598,12,12,1,0,22.5,0
4.820282,124.0000539,16,17,2,0,37.5,0
4.859812,128.9999478,12,12,2,0,27.5,0
4.663439,105.99999,12,12,1,0,32.5,0
4.867535,130.0000714,12,12,1,1,22.5,0
4.70953,110.9999777,12,12,1,1,27.5,0
4.744932,114.9999852,12,12,3,1,27.5,0
4.762174,117.0000076,18,16,2,0,27.5,0
4.727388,113.0000205,12,14,1,0,22.5,0
4.736198,113.9999489,14,13,1,1,27.5,0
4.983607,146.0000552,14,13,1,1,19.5,0
4.584968,98.00005109,0,12,2,1,4.5,20
4.962845,143.0000529,10,10,3,1,11.5,10
4.75359,115.9999778,18,17,1,1,27.5,0
4.75359,115.9999778,13,14,1,1,37.5,30
4.317488,74.99999148,16,13,2,0,6.5,0
4.934474,139.0000093,13,13,1,0,32.5,0
4.787492,120.0000309,14,14,1,1,18.5,0
4.983607,146.0000552,15,16,1,0,32.5,0
4.976734,145.0000373,12,12,1,0,42.5,0
4.912655,136.0000155,12,13,3,1,22.5,0
4.787492,120.0000309,12,12,1,0,16.5,0
4.663439,105.99999,16,16,1,1,42.5,0
4.691348,109.0000128,16,16,1,0,37.5,15
4.574711,97.00000209,11,12,5,0,13.5,0
4.804021,121.9999945,12,10,3,1,22.5,0
4.867535,130.0000714,16,12,1,1,37.5,0
4.744932,114.9999852,12,14,1,0,27.5,0
4.75359,115.9999778,13,12,1,1,16.5,0
4.89784,134.0000268,12,12,1,0,47.5,0
4.844187,126.999989,12,10,1,0,22.5,0
4.61512,100.9999478,13,12,1,0,22.5,0
4.976734,145.0000373,12,12,3,0,47.5,0
4.867535,130.0000714,14,17,2,1,14.5,0
4.927254,138.0000434,0,14,2,1,16.5,0
4.890349,132.9999829,14,16,3,1,14.5,0
4.663439,105.99999,12,13,1,0,18.5,0
4.905275,135.0000299,10,8,2,1,3.5,0
4.644391,104.0000105,12,11,3,0,27.5,15
4.584968,98.00005109,11,12,3,0,17.5,0
4.812184,122.9999563,12,10,2,0,18.5,0
4.779123,118.9999413,16,14,1,0,17.5,0
4.89784,134.0000268,12,12,3,1,18.5,0
4.41884,82.99994955,0,12,1,0,0.5,0
5.081404,160.9999412,16,13,1,1,37.5,0
4.691348,109.0000128,9,14,2,1,7.5,5
4.727388,113.0000205,12,12,1,1,18.5,0
4.584968,98.00005109,10,12,1,0,4.5,0
4.927254,138.0000434,10,16,1,1,27.5,0
4.787492,120.0000309,12,12,1,1,6.5,0
4.718499,112.0000144,12,13,1,0,27.5,0
4.634729,103.0000012,14,12,1,1,42.5,0
5.049856,155.9999989,14,13,1,0,22.5,0
