lnbwt,bwt,edfather,edmother,parity,male,famincom,cigspreg
4.779123,118.9999413,10,12,1,0,19.5,0
4.89784,134.0000268,14,12,1,0,65,0
5.003946,148.9999544,0,12,2,1,37.5,0
4.663439,105.99999,16,12,2,0,42.5,0
4.934474,139.0000093,12,12,2,0,37.5,0
4.919981,137.0000102,18,16,1,1,47.5,0
4.919981,137.0000102,16,14,2,0,32.5,0
4.941642,139.9999408,10,12,2,1,15.5,20
4.836282,126.0000117,14,12,2,1,32.5,0
4.859812,128.9999478,18,12,4,0,47.5,0
4.26268,71.00000873,12,12,2,0,42.5,0
4.820282,124.0000539,12,12,2,0,32.5,0
4.718499,112.0000144,17,16,2,0,47.5,0
4.369448,79.00001166,8,10,3,1,3.5,0
4.553877,95.0000103,14,16,1,0,27.5,0
4.60517,99.9999814,12,12,1,0,22.5,0
4.65396,104.9999632,14,12,1,1,18.5,0
4.59512,99.00001484,14,12,2,0,37.5,5
4.990433,147.0000607,13,15,1,1,47.5,0
4.543295,94.00002047,14,16,1,0,65,0
4.997212,147.9999595,12,16,1,0,65,0
4.510859,90.99995391,8,10,1,1,11.5,30
4.875197,130.9999577,12,16,3,1,32.5,0
4.624973,102.000019,8,6,1,0,22.5,0
5.081404,160.9999412,16,12,2,0,32.5,0
4.787492,120.0000309,15,13,2,1,65,0
4.65396,104.9999632,12,14,1,1,27.5,0
4.718499,112.0000144,12,12,1,1,18.5,0
4.867535,130.0000714,16,16,2,1,37.5,0
4.912655,136.0000155,12,12,1,1,32.5,0
4.70048,109.9999598,12,12,1,0,19.5,0
4.820282,124.0000539,13,13,1,1,22.5,0
4.89784,134.0000268,13,12,2,0,22.5,0
4.912655,136.0000155,12,12,1,1,47.5,0
4.804021,121.9999945,12,12,1,0,17.5,0
4.919981,137.0000102,0,15,1,0,18.5,0
4.779123,118.9999413,12,13,1,0,65,10
4.969813,143.9999569,13,18,3,1,32.5,0
4.85203,127.9999662,18,18,3,0,47.5,0
4.644391,104.0000105,12,10,1,0,13.5,0
4.770685,118.0000443,13,16,1,0,32.5,0
4.532599,92.99995414,14,18,2,1,65,0
4.927254,138.0000434,12,13,1,0,42.5,6
4.905275,135.0000299,13,13,2,1,32.5,0
4.770685,118.0000443,16,18,1,0,37.5,0
4.787492,120.0000309,16,14,2,0,37.5,0
4.727388,113.0000205,18,18,1,0,65,0
4.70048,109.9999598,12,12,1,0,42.5,0
4.663439,105.99999,12,15,1,1,37.5,0
4.828314,125.0000328,0,12,1,1,9.5,20
4.672829,107.0000177,14,14,1,1,19.5,0
4.867535,130.0000714,12,12,1,0,19.5,0
4.75359,115.9999778,18,17,1,1,47.5,0
4.624973,102.000019,12,12,4,0,42.5,5
4.718499,112.0000144,12,11,1,1,27.5,0
4.820282,124.0000539,12,12,2,0,65,20
4.770685,118.0000443,14,12,2,0,32.5,0
4.828314,125.0000328,16,14,2,1,47.5,0
4.634729,103.0000012,14,18,1,0,65,0
4.744932,114.9999852,0,12,2,1,6.5,0
4.912655,136.0000155,13,14,2,0,42.5,0
4.787492,120.0000309,10,11,1,1,19.5,10
4.934474,139.0000093,12,12,1,1,65,2
4.919981,137.0000102,12,14,2,0,27.5,0
4.787492,120.0000309,15,16,1,0,37.5,5
4.727388,113.0000205,15,15,1,1,27.5,0
4.624973,102.000019,12,12,1,1,22.5,0
4.882802,132.0000102,12,12,3,0,27.5,0
4.94876,141.0000155,12,12,1,1,37.5,1
4.779123,118.9999413,16,12,2,0,22.5,0
4.634729,103.0000012,13,12,2,0,27.5,20
4.762174,117.0000076,12,13,1,1,32.5,0
4.727388,113.0000205,12,12,1,1,32.5,0
4.912655,136.0000155,12,12,1,0,37.5,0
4.85203,127.9999662,12,12,1,0,37.5,0
4.70048,109.9999598,16,15,1,1,19.5,0
4.70048,109.9999598,18,18,1,1,65,0
4.812184,122.9999563,14,13,1,1,65,0
5.010635,149.9999559,12,12,1,1,32.5,0
4.762174,117.0000076,18,18,2,0,42.5,0
4.955827,141.9999918,14,13,2,1,22.5,0
4.61512,100.9999478,12,12,2,1,16.5,10
4.820282,124.0000539,12,12,1,0,22.5,0
4.812184,122.9999563,12,12,3,1,65,0
4.543295,94.00002047,12,12,1,1,13.5,10
4.70048,109.9999598,10,12,1,0,32.5,0
4.465908,86.99998968,18,18,1,0,37.5,0
4.691348,109.0000128,15,16,1,1,37.5,0
4.934474,139.0000093,11,10,4,0,19.5,0
4.644391,104.0000105,16,16,1,0,32.5,0
4.795791,121.000055,0,13,1,0,22.5,0
4.70048,109.9999598,15,17,1,0,65,0
5.043425,154.9999819,12,10,5,0,27.5,0
4.990433,147.0000607,16,17,2,0,18.5,0
4.762174,117.0000076,11,12,1,1,47.5,0
4.912655,136.0000155,13,12,2,0,42.5,0
4.859812,128.9999478,16,16,1,1,65,0
4.736198,113.9999489,16,15,1,1,22.5,0
4.691348,109.0000128,12,14,2,1,42.5,0
4.955827,141.9999918,16,16,1,0,47.5,0
4.59512,99.00001484,12,12,1,1,65,0
4.369448,79.00001166,0,12,1,1,11.5,20
4.624973,102.000019,12,11,1,0,5.5,20
4.304065,73.9999931,12,12,2,0,65,0
4.955827,141.9999918,18,16,3,0,65,0
4.584968,98.00005109,10,11,2,0,32.5,10
4.672829,107.0000177,17,12,1,1,47.5,0
4.828314,125.0000328,18,16,3,1,65,0
4.912655,136.0000155,14,8,1,1,22.5,40
4.663439,105.99999,17,16,1,0,65,0
4.644391,104.0000105,12,12,1,0,13.5,0
4.276666,71.99999143,13,12,1,1,27.5,0
4.718499,112.0000144,18,12,2,0,65,0
4.787492,120.0000309,9,12,3,0,32.5,20
4.634729,103.0000012,12,12,1,1,65,0
4.912655,136.0000155,16,16,1,0,27.5,0
4.812184,122.9999563,14,10,3,1,65,0
4.927254,138.0000434,11,11,2,0,32.5,0
3.912023,49.99999973,11,12,1,1,5.5,8
4.317488,74.99999148,11,12,3,1,22.5,20
4.532599,92.99995414,0,11,2,0,5.5,0
4.779123,118.9999413,12,10,2,0,27.5,0
4.624973,102.000019,7,9,3,1,4.5,10
4.718499,112.0000144,16,15,3,1,42.5,0
4.663439,105.99999,12,13,2,0,32.5,0
4.682131,107.9999755,11,12,2,1,22.5,0
4.718499,112.0000144,12,12,1,0,27.5,0
4.976734,145.0000373,12,17,1,1,47.5,0
4.736198,113.9999489,15,14,2,0,32.5,7
3.951244,52.00001463,13,12,1,1,9.5,0
4.828314,125.0000328,16,16,1,0,47.5,0
4.844187,126.999989,17,14,1,0,42.5,0
4.882802,132.0000102,14,15,1,1,9.5,0
4.382027,80.00002923,12,12,2,0,37.5,0
4.820282,124.0000539,14,13,2,0,27.5,0
4.812184,122.9999563,16,15,2,1,37.5,0
4.795791,121.000055,18,16,3,0,18.5,0
4.912655,136.0000155,12,12,3,1,65,0
5.02388,151.9999208,18,17,3,0,32.5,0
4.882802,132.0000102,16,16,1,0,27.5,0
4.962845,143.0000529,16,16,2,0,65,0
4.736198,113.9999489,12,12,1,1,22.5,8
4.477337,88.00001633,16,16,1,0,65,0
4.744932,114.9999852,15,13,2,0,22.5,0
5.010635,149.9999559,18,12,2,1,47.5,0
4.94876,141.0000155,16,13,2,1,42.5,0
4.828314,125.0000328,12,15,1,1,12.5,0
4.905275,135.0000299,12,12,2,0,18.5,0
4.787492,120.0000309,0,11,2,0,6.5,20
4.41884,82.99994955,14,14,2,0,42.5,0
4.962845,143.0000529,12,12,3,0,27.5,0
5.030438,153.000012,12,16,1,1,65,0
5.010635,149.9999559,16,14,3,1,65,0
5.02388,151.9999208,14,14,3,0,27.5,0
4.997212,147.9999595,12,12,1,0,27.5,10
4.812184,122.9999563,13,18,2,0,42.5,0
4.762174,117.0000076,12,12,1,1,27.5,0
4.85203,127.9999662,16,16,1,1,65,0
4.521789,92.00003891,16,16,2,0,65,0
4.744932,114.9999852,13,13,1,0,27.5,0
4.65396,104.9999632,16,17,1,0,27.5,0
4.94876,141.0000155,16,12,1,1,65,0
4.644391,104.0000105,12,12,1,1,14.5,0
5.049856,155.9999989,14,12,3,1,22.5,0
4.875197,130.9999577,16,12,4,0,10.5,0
4.762174,117.0000076,12,12,1,1,15.5,0
4.94876,141.0000155,12,12,2,0,32.5,0
4.927254,138.0000434,12,10,2,0,32.5,0
4.912655,136.0000155,0,12,1,0,4.5,0
4.969813,143.9999569,12,12,1,0,8.5,0
4.812184,122.9999563,18,18,1,0,32.5,0
4.736198,113.9999489,16,16,1,1,32.5,0
4.60517,99.9999814,0,12,1,1,32.5,0
4.844187,126.999989,12,12,1,1,47.5,0
4.521789,92.00003891,12,12,1,0,17.5,20
4.927254,138.0000434,16,17,2,0,37.5,0
4.934474,139.0000093,15,16,1,1,27.5,0
4.820282,124.0000539,16,16,1,1,7.5,0
4.882802,132.0000102,10,11,1,1,10.5,0
5.01728,151.0000246,14,13,2,0,22.5,0
4.836282,126.0000117,12,16,2,1,27.5,0
4.553877,95.0000103,17,18,1,0,32.5,5
4.744932,114.9999852,12,16,1,0,37.5,0
4.85203,127.9999662,12,9,2,0,47.5,0
4.543295,94.00002047,12,10,1,1,22.5,10
4.762174,117.0000076,12,12,1,0,27.5,0
4.867535,130.0000714,12,11,1,1,65,0
4.406719,81.99997972,13,14,3,0,42.5,0
4.795791,121.000055,12,12,2,1,12.5,0
4.584968,98.00005109,12,14,1,1,47.5,0
4.919981,137.0000102,16,14,1,1,32.5,20
4.736198,113.9999489,16,16,1,0,37.5,15
4.795791,121.000055,12,16,2,1,42.5,0
4.820282,124.0000539,14,12,2,1,22.5,0
4.779123,118.9999413,16,14,1,0,17.5,0
5.01728,151.0000246,18,18,3,1,32.5,0
4.969813,143.9999569,12,12,1,0,22.5,0
4.820282,124.0000539,12,12,5,0,18.5,0
4.60517,99.9999814,12,12,2,0,32.5,7
5.075174,160.0000296,14,16,3,0,27.5,0
4.691348,109.0000128,10,12,2,1,3.5,0
4.927254,138.0000434,12,14,3,1,15.5,0
4.804021,121.9999945,18,18,3,1,65,0
4.691348,109.0000128,12,16,4,0,37.5,0
4.934474,139.0000093,16,18,1,1,32.5,0
4.828314,125.0000328,12,12,2,1,9.5,0
4.770685,118.0000443,12,6,3,1,22.5,15
4.736198,113.9999489,12,17,1,1,42.5,0
4.736198,113.9999489,16,13,2,0,37.5,1
4.836282,126.0000117,13,12,1,0,42.5,15
4.736198,113.9999489,13,11,1,1,14.5,0
4.836282,126.0000117,18,16,2,1,37.5,0
4.744932,114.9999852,0,12,1,1,22.5,0
4.812184,122.9999563,12,16,1,1,65,0
5.075174,160.0000296,17,12,1,1,47.5,0
4.060443,57.99999939,12,11,1,1,10.5,0
4.682131,107.9999755,18,17,1,0,65,0
4.727388,113.0000205,12,12,2,1,27.5,0
4.941642,139.9999408,18,18,2,1,65,0
4.770685,118.0000443,12,16,2,1,27.5,0
4.70953,110.9999777,16,12,1,1,65,0
4.477337,88.00001633,12,12,1,1,16.5,5
4.890349,132.9999829,14,13,1,0,65,10
4.663439,105.99999,16,18,1,0,42.5,0
4.718499,112.0000144,13,12,1,1,65,12
4.804021,121.9999945,12,10,2,1,32.5,0
4.330733,75.99997414,16,16,1,0,65,0
4.804021,121.9999945,18,14,4,0,65,10
5.068904,158.9999678,18,16,2,0,65,0
4.75359,115.9999778,15,16,1,1,65,0
4.644391,104.0000105,12,13,1,0,22.5,20
4.75359,115.9999778,16,14,1,0,65,0
4.744932,114.9999852,12,11,3,0,47.5,10
5.068904,158.9999678,12,12,1,1,27.5,10
4.976734,145.0000373,16,16,1,0,65,0
4.795791,121.000055,14,16,2,0,65,0
4.718499,112.0000144,0,16,1,1,32.5,0
4.672829,107.0000177,13,12,1,0,22.5,0
4.890349,132.9999829,12,17,1,0,65,0
4.912655,136.0000155,12,12,2,1,65,0
4.997212,147.9999595,0,12,1,0,6.5,0
4.890349,132.9999829,12,14,2,1,65,0
4.682131,107.9999755,13,12,1,1,37.5,4
4.510859,90.99995391,16,16,2,1,65,0
4.543295,94.00002047,12,12,2,1,32.5,0
4.812184,122.9999563,12,12,1,0,27.5,0
4.859812,128.9999478,18,16,2,0,65,0
4.682131,107.9999755,14,14,1,1,27.5,0
4.49981,90.00002967,12,10,1,1,32.5,0
4.465908,86.99998968,12,12,1,1,22.5,15
4.890349,132.9999829,12,14,2,0,42.5,0
4.762174,117.0000076,12,13,2,1,42.5,0
5.02388,151.9999208,16,14,1,1,65,0
4.779123,118.9999413,16,12,3,0,27.5,0
4.736198,113.9999489,18,16,1,0,65,0
4.488636,88.99996709,12,14,1,0,37.5,3
4.882802,132.0000102,12,12,3,0,65,0
4.867535,130.0000714,12,12,1,1,32.5,0
4.672829,107.0000177,18,18,1,0,65,0
4.828314,125.0000328,12,14,1,1,22.5,0
4.762174,117.0000076,15,15,1,0,22.5,0
4.828314,125.0000328,12,14,3,0,19.5,0
4.663439,105.99999,12,14,2,1,27.5,0
4.867535,130.0000714,13,13,2,1,47.5,10
4.859812,128.9999478,12,14,1,1,47.5,0
4.969813,143.9999569,0,16,1,1,22.5,0
4.70048,109.9999598,12,16,3,0,42.5,0
4.727388,113.0000205,9,12,2,0,10.5,10
4.532599,92.99995414,15,18,1,0,65,0
4.663439,105.99999,15,18,2,0,47.5,0
4.727388,113.0000205,18,12,3,1,42.5,0
4.75359,115.9999778,16,15,1,1,27.5,0
4.859812,128.9999478,18,16,2,0,65,0
4.779123,118.9999413,11,11,1,1,22.5,0
4.718499,112.0000144,12,13,1,1,19.5,0
4.812184,122.9999563,10,10,1,0,8.5,0
4.844187,126.999989,18,18,1,0,65,0
4.85203,127.9999662,12,13,1,0,32.5,0
4.532599,92.99995414,14,12,1,1,65,0
4.49981,90.00002967,12,11,1,1,19.5,10
4.29046,73.0000408,14,14,1,1,22.5,0
4.890349,132.9999829,0,16,2,0,27.5,0
4.584968,98.00005109,16,17,1,0,15.5,0
4.912655,136.0000155,14,12,1,1,37.5,0
4.672829,107.0000177,11,12,1,0,42.5,0
4.990433,147.0000607,12,12,1,1,65,0
5.003946,148.9999544,14,12,1,0,32.5,20
4.663439,105.99999,18,16,1,0,37.5,0
4.574711,97.00000209,10,13,1,0,47.5,10
4.89784,134.0000268,12,12,2,0,65,0
4.912655,136.0000155,16,16,2,1,22.5,0
4.875197,130.9999577,12,12,1,1,22.5,0
4.718499,112.0000144,15,16,1,1,27.5,0
4.65396,104.9999632,13,12,1,1,12.5,0
4.787492,120.0000309,16,15,1,0,42.5,0
4.744932,114.9999852,12,14,3,1,27.5,0
4.787492,120.0000309,13,16,1,1,32.5,0
4.779123,118.9999413,13,12,3,0,47.5,5
4.736198,113.9999489,16,14,1,0,27.5,0
4.727388,113.0000205,12,12,1,1,65,0
4.770685,118.0000443,12,12,2,0,22.5,0
4.836282,126.0000117,12,14,1,1,65,0
4.787492,120.0000309,13,12,1,1,42.5,0
4.644391,104.0000105,14,14,1,0,65,0
4.736198,113.9999489,12,12,1,1,27.5,0
4.70953,110.9999777,16,14,2,0,65,0
4.543295,94.00002047,0,12,1,0,5.5,0
4.744932,114.9999852,12,12,1,0,18.5,0
4.804021,121.9999945,10,11,1,0,13.5,0
4.770685,118.0000443,14,10,4,1,12.5,20
4.744932,114.9999852,9,9,1,0,19.5,0
4.644391,104.0000105,12,12,1,0,9.5,0
4.962845,143.0000529,12,12,1,1,13.5,0
4.962845,143.0000529,16,16,1,1,47.5,0
4.844187,126.999989,16,14,2,1,37.5,0
4.804021,121.9999945,13,14,1,0,27.5,0
4.744932,114.9999852,13,16,1,1,19.5,0
4.736198,113.9999489,11,9,2,0,16.5,10
4.682131,107.9999755,16,16,1,0,32.5,0
4.356709,78.00001352,10,6,2,1,9.5,0
4.584968,98.00005109,12,12,1,0,22.5,0
4.543295,94.00002047,8,8,2,0,22.5,30
4.905275,135.0000299,12,10,1,1,27.5,10
4.820282,124.0000539,9,9,1,1,11.5,20
4.682131,107.9999755,0,7,4,0,5.5,0
4.85203,127.9999662,12,12,1,1,19.5,10
4.934474,139.0000093,12,12,3,0,11.5,0
4.85203,127.9999662,14,8,3,1,27.5,0
4.624973,102.000019,12,13,1,1,42.5,0
4.912655,136.0000155,0,12,2,1,3.5,0
4.983607,146.0000552,12,12,1,0,65,0
4.912655,136.0000155,17,12,1,1,16.5,0
4.488636,88.99996709,16,16,1,1,42.5,0
4.624973,102.000019,0,10,1,0,2.5,30
4.85203,127.9999662,12,12,1,0,8.5,0
4.820282,124.0000539,12,13,3,1,27.5,0
4.804021,121.9999945,12,12,1,1,12.5,0
4.61512,100.9999478,0,10,2,0,4.5,4
4.770685,118.0000443,12,12,1,1,37.5,0
4.248495,69.99998306,16,18,2,1,32.5,0
4.912655,136.0000155,12,12,1,1,22.5,0
5.02388,151.9999208,13,12,2,0,37.5,0
4.584968,98.00005109,12,14,3,0,19.5,0
4.219508,68.00002005,12,11,4,0,9.5,10
4.762174,117.0000076,8,8,1,1,0.5,0
4.804021,121.9999945,16,14,2,0,47.5,0
4.882802,132.0000102,16,16,4,1,42.5,0
4.867535,130.0000714,0,12,3,0,27.5,0
5.068904,158.9999678,12,12,1,1,37.5,0
4.744932,114.9999852,0,10,1,0,7.5,3
4.836282,126.0000117,12,10,1,0,22.5,20
4.882802,132.0000102,13,12,1,0,22.5,7
4.465908,86.99998968,12,12,2,1,27.5,20
4.990433,147.0000607,0,12,1,1,4.5,0
4.682131,107.9999755,12,12,1,1,18.5,0
4.634729,103.0000012,15,16,1,1,32.5,0
4.85203,127.9999662,12,12,2,0,37.5,0
4.574711,97.00000209,11,10,2,1,6.5,2
4.727388,113.0000205,16,12,1,1,42.5,0
4.85203,127.9999662,12,12,1,0,47.5,0
4.553877,95.0000103,0,11,1,1,4.5,0
4.85203,127.9999662,16,16,2,0,65,0
4.859812,128.9999478,11,12,2,1,12.5,20
